user_city;user_zip;offer_location;offer_region;bookings
bedburg;50181;morscheid-riedenburg;bernkastel-wittlich;1
bedburg-hau;47551;isny im allgäu;tübingen;1
beeskow;15848;leisten;ludwigslust-parchim;1
beilrode;4886;altwarp siedlung;uecker-randow;1
beilstein;71717;preming;lower bavaria;1
belm;49191;neuendorf;rügen;1
bendestorf;21227;karlshagen;ostvorpommern;1
bendorf;56170;mußbach;neustadt;1
bendorf;56170;neustadt;neustadt;1
bendorf;56170;prora;rügen;1
bennewitz;4828;poel;nordwestmecklenburg;1
bensheim;64625;wenningstedt-braderup;nordfriesland;1
bentwisch;18182;born a. darß;nordvorpommern;1
bentwisch;19322;eckernförde;rendsburg-eckernförde;1
berg/pfalz;76768;waren;müritz;1
bergen;29303;blankenburg;harz;1
bergheim;50127;büsum;dithmarschen;1
bergheim;50129;merzalben;südwestpfalz;1
bergheim;50129;sobernheim;bad kreuznach;1
bergisch gladbach;51427;hooksiel;friesland;1
bergisch gladbach;51427;kamschlacken;landkreis osterode am harz;1
bergisch gladbach;51427;wyk auf föhr;nordfriesland;1
bergisch gladbach;51467;niedersfeld;arnsberg;1
bergkamen;59192;surendorf;rendsburg-eckernförde;1
berlin;10115;althagen;nordvorpommern;1
berlin;10115;baabe;rügen;1
berlin;10115;kappel;freiburg;1
berlin;10115;karlshagen;ostvorpommern;1
berlin;10117;bad salzuflen;detmold;1
berlin;10117;gosdorf;ostholstein;1
berlin;10117;lenzinghausen;detmold;1
berlin;10178;karlshagen;ostvorpommern;1
berlin;10179;entfelden;upper bavaria;1
berlin;10243;kölpinsee;ostvorpommern;1
berlin;10243;sankt peter-ording;nordfriesland;1
berlin;10243;vieregge;rügen;1
berlin;10245;rutenberg;uckermark;1
berlin;10247;gartenstadt;märkisch-oderland;1
berlin;10247;kappeln;schleswig-flensburg;1
berlin;10247;schlepkow;uckermark;1
berlin;10247;schönhagen;rendsburg-eckernförde;1
berlin;10249;zerpenschleuse;barnim;1
berlin;10315;gerolstein;vulkaneifel;1
berlin;10315;hafendorf;mecklenburgische seenplatte;1
berlin;10318;schnarrtanne;chemnitz;1
berlin;10319;friedrichskoog-spitze;dithmarschen;1
berlin;10319;hafendorf;mecklenburgische seenplatte;1
berlin;10365;rankwitz;ostvorpommern;1
berlin;10367;glowe;rügen;1
berlin;10367;hohendorf;nordvorpommern;1
berlin;10367;priwall peninsula;lübeck;1
berlin;10405;groß nemerow;mecklenburgische seenplatte;1
berlin;10405;ostseebad;rügen;1
berlin;10407;zingst;nordvorpommern;1
berlin;10409;ehlenbogen;karlsruhe;1
berlin;10437;priwall peninsula;lübeck;1
berlin;10439;oranienburg;oberhavel;1
berlin;10555;frohnhausen;düsseldorf;1
berlin;10557;zingst;nordvorpommern;1
berlin;10559;bad saarow;oder-spree;1
berlin;10559;born a. darß;nordvorpommern;1
berlin;10559;priwall peninsula;lübeck;1
berlin;10585;bad saarow;oder-spree;1
berlin;10709;süder-waygaard;nordfriesland;1
berlin;10709;wenningstedt-braderup;nordfriesland;1
berlin;10717;wustrow;nordvorpommern;1
berlin;10777;burhave;wesermarsch;1
berlin;10777;schlicht;mecklenburgische seenplatte;1
berlin;10785;köln-altstadt-nord;cologne;1
berlin;10785;neukalen;demmin;1
berlin;10825;braunlage;goslar;1
berlin;10829;dörgenhausen;dresden government region;1
berlin;10965;rerik;rostock;1
berlin;10965;warnemünde;rostock;1
berlin;10967;zechlinerhütte;ostprignitz-ruppin;1
berlin;10997;priwall peninsula;lübeck;1
berlin;10999;dieksanderkoog;dithmarschen;1
berlin;10999;thiessow;rügen;1
berlin;11111;alt travemünde - rönnau;lübeck;1
berlin;11111;bahnhofsviertel;darmstadt;1
berlin;12043;bayerisch gmain;upper bavaria;1
berlin;12045;babelsberg nord;potsdam-mittelmark;1
berlin;12047;dahmsdorf;oder-spree;1
berlin;12047;rutenberg;uckermark;1
berlin;12055;schlettau;chemnitz;1
berlin;12055;wandlitz;barnim;1
berlin;12103;alt travemünde - rönnau;lübeck;1
berlin;12103;thomsdorf;uckermark;1
berlin;12105;kühlungsborn ost;rostock;1
berlin;12105;spahl;wartburgkreis;1
berlin;12107;dagebüll;nordfriesland;1
berlin;12107;röbel;mecklenburgische seenplatte;1
berlin;12109;kühlungsborn ost;rostock;1
berlin;12159;westerland;nordfriesland;1
berlin;12163;ahrenshoop;nordvorpommern;1
berlin;12163;büsum;dithmarschen;1
berlin;12163;fehmarn;ostholstein;1
berlin;12163;priwall peninsula;lübeck;1
berlin;12165;bansin;ostvorpommern;1
berlin;12167;gronenberg;ostholstein;1
berlin;12167;innenstadt;lübeck;1
berlin;12167;ketelsby;schleswig-flensburg;1
berlin;12205;ostseebad;rügen;1
berlin;12205;weimar;weimarer land;1
berlin;12209;britten;merzig-wadern;1
berlin;12209;krakow am see;rostock;1
berlin;12277;zirchow;ostvorpommern;1
berlin;12279;ueckermünde;uecker-randow;1
berlin;12279;zinnowitz;ostvorpommern;1
berlin;12309;binz;rügen;1
berlin;12347;malchow;müritz;1
berlin;12347;sandbrink;diepholz;1
berlin;12351;tossens;wesermarsch;1
berlin;12357;schönberger strand;plön;1
berlin;12359;kölpinsee;ostvorpommern;1
berlin;12435;ilversgehofen;erfurt;1
berlin;12439;rittersgrün;chemnitz;1
berlin;12459;jordanshöhe;goslar;1
berlin;12459;loddin;ostvorpommern;1
berlin;12459;torgau;leipzig;1
berlin;12487;graal;rostock;1
berlin;12524;bad saarow;oder-spree;1
berlin;12526;jamitzow;ostvorpommern;1
berlin;12555;sobrigau;dresden government region;1
berlin;12555;thale;harz;1
berlin;12557;boltenhagen;nordwestmecklenburg;1
berlin;12557;karlshagen;ostvorpommern;1
berlin;12557;wildemann;goslar;1
berlin;12559;bodenmais;lower bavaria;1
berlin;12559;tetenbüll;nordfriesland;1
berlin;12559;wustrow;nordvorpommern;1
berlin;12587;wangern;nordwestmecklenburg;1
berlin;12589;großenbrode;ostholstein;1
berlin;12589;sankt peter-ording;nordfriesland;1
berlin;12589;seebad heringsdorf;ostvorpommern;1
berlin;12621;zingst;nordvorpommern;1
berlin;12623;boltenhagen;nordwestmecklenburg;1
berlin;12623;bärenfels;dresden government region;1
berlin;12623;zempin;ostvorpommern;1
berlin;12627;bergen auf rügen;rügen;1
berlin;12627;hafendorf;mecklenburgische seenplatte;1
berlin;12627;kappeln;schleswig-flensburg;1
berlin;12629;struckum;nordfriesland;1
berlin;12679;farchant;upper bavaria;1
berlin;12679;rhoda;erfurt;1
berlin;12683;zingst;nordvorpommern;1
berlin;12685;ostseebad;rügen;1
berlin;12685;pepelow;rostock;1
berlin;12685;warnemünde;rostock;1
berlin;12687;steinheid;sonneberg;1
berlin;13051;sellin;rügen;1
berlin;13053;bad sachsa;landkreis osterode am harz;1
berlin;13053;bansin;ostvorpommern;1
berlin;13053;feichten;upper bavaria;1
berlin;13053;sellin;rügen;1
berlin;13055;bad saarow;oder-spree;1
berlin;13055;gollendorf;ostholstein;1
berlin;13055;mönkebüll;nordfriesland;1
berlin;13059;waren;müritz;1
berlin;13059;zierow;nordwestmecklenburg;1
berlin;13088;frohnau;chemnitz;1
berlin;13088;hohegeiß;goslar;1
berlin;13088;karlshagen;ostvorpommern;1
berlin;13088;treptow-köpenick;treptow-köpenick;1
berlin;13089;baabe;rügen;1
berlin;13125;ahlbeck;ostvorpommern;1
berlin;13125;ostseebad;rügen;1
berlin;13125;renholding;lower bavaria;1
berlin;13125;wieck a. darß;nordvorpommern;1
berlin;13156;glowe;rügen;1
berlin;13158;kappeln;schleswig-flensburg;1
berlin;13158;vordergeiersberg;upper franconia;1
berlin;13187;bad schmiedeberg;wittenberg;1
berlin;13187;dierkow-west;rostock;1
berlin;13187;jordanshöhe;goslar;1
berlin;13187;kappeln;schleswig-flensburg;1
berlin;13187;mitte;mitte;1
berlin;13189;heiligenhafen;ostholstein;1
berlin;13347;priwall peninsula;lübeck;1
berlin;13349;binz;rügen;1
berlin;13353;malchow;müritz;1
berlin;13355;sellin;rügen;1
berlin;13403;priwall peninsula;lübeck;1
berlin;13403;sassnitz;rügen;1
berlin;13409;treptow-köpenick;treptow-köpenick;1
berlin;13435;altenhof;barnim;1
berlin;13435;zingst;nordvorpommern;1
berlin;13439;sassnitz;rügen;1
berlin;13503;hafendorf;mecklenburgische seenplatte;1
berlin;13507;scharbeutz;ostholstein;1
berlin;13507;zingst;nordvorpommern;1
berlin;13509;priwall peninsula;lübeck;1
berlin;13509;staberdorf;ostholstein;1
berlin;13509;tinnum;nordfriesland;1
berlin;13581;lohme;rügen;1
berlin;13587;sankt andreasberg;goslar;1
berlin;13589;dahmsdorf;oder-spree;1
berlin;13593;grambin;uecker-randow;1
berlin;13593;jordanshöhe;goslar;1
berlin;13595;wüstensachsen;kassel;1
berlin;13597;hafendorf;mecklenburgische seenplatte;1
berlin;13599;retzow;uckermark;1
berlin;13599;schmölz;upper bavaria;1
berlin;13599;soderstorf;lüneburg;1
berlin;14057;prerow;nordvorpommern;1
berlin;14059;otterndorf;cuxhaven;1
berlin;14089;krummsee;mecklenburgische seenplatte;1
berlin;14129;ostseebad;rügen;1
berlin;14165;göhren-lebbin;mecklenburgische seenplatte;1
berlin;14165;sankt andreasberg;goslar;1
berlin;14167;zirchow;ostvorpommern;1
berlin;14193;ahlbeck;ostvorpommern;1
berlin;14193;zinnowitz;ostvorpommern;1
berlin;14195;rerik;rostock;1
berlin spandau;13595;wyk auf föhr;nordfriesland;1
bernau;16321;freest;ostvorpommern;1
bernau;16321;glücksburg;schleswig-flensburg;1
bernau;16321;hohenfelde;rostock;1
bernburg;6406;müritz;rostock;1
bernburg;6406;wieck a. darß;nordvorpommern;1
bernburg;6406;zingst;nordvorpommern;1
bernstadt;2748;roßbach;neuwied;1
bersenbrück;49593;haldern;düsseldorf;1
bestensee;15741;dagebüll;nordfriesland;1
betzdorf;57518;waddens;wesermarsch;1
bevern;37639;waren;müritz;1
biberach;88400;deggenhausertal;tübingen;1
bickenbach;64404;schilksee;plön;1
bickenbach;64404;silberberg;lower bavaria;1
biedenkopf;35216;fedderwardersiel;wesermarsch;1
bielefeld;33602;burhave;wesermarsch;1
bielefeld;33605;büsum;dithmarschen;1
bielefeld;33611;rankwitz;ostvorpommern;1
bielefeld;33617;jordanshöhe;goslar;1
bielefeld;33619;zingst;nordvorpommern;1
bielefeld;33647;gstadt am chiemsee;upper bavaria;1
bielefeld;33659;niederaula;kassel;1
bielefeld;33689;saalfeld;saalfeld-rudolstadt;1
bielefeld;33699;laboe;plön;1
bielefeld;33719;großenbrode;ostholstein;1
bielefeld;33719;grömitz;ostholstein;1
bielefeld;33729;grömitz;ostholstein;1
bielefeld;33739;büsum;dithmarschen;1
bielefeld;33739;ditzumerverlaat;leer;1
bielefeld;33739;olpenitzdorf;schleswig-flensburg;1
bielefeld;33739;tossens;wesermarsch;1
bielefeld jöllenbeck;33739;schluchsee;freiburg;1
bingen am rhein;55411;frohnhausen;düsseldorf;1
birkenfeld;75217;prechtal;freiburg;1
birkenwerder;16547;kühlungsborn-west;rostock;1
birkenwerder;16547;rerik;rostock;1
birlenbach;65626;telgte;münster;1
bismark/ot schinne;39628;jamitzow;ostvorpommern;1
bitburg-mötsch;54634;lenzkirch;freiburg;1
bitterfeld-wolfen;6766;zirchow;ostvorpommern;1
blankenfelde-mahlow;15827;alt travemünde - rönnau;lübeck;1
blankenfelde-mahlow;15827;diesdorf;magdeburg;1
blankenfelde-mahlow;15831;zingst;nordvorpommern;1
bleckede;21354;stickhausen;leer;1
bleicherode;99752;rerik;rostock;1
bliedersdorf;21640;mockritz;dresden government region;1
blieskastel;66440;steinbergkirche;schleswig-flensburg;1
blumenthsl;24241;sankt peter-ording;nordfriesland;1
bocholt;46397;nordhorn;bentheim;1
bocholt;46399;glowe;rügen;1
bocholt;46399;höhenberg;cologne;1
bocholt;46399;stammheim;cologne;1
bochum;44789;krakow am see;rostock;1
bochum;44795;au;swabia;1
bochum;44795;grömitz;ostholstein;1
bochum;44797;burhave;wesermarsch;1
bochum;44801;alt travemünde - rönnau;lübeck;1
bochum;44803;dorumer neufeld;cuxhaven;1
bochum;44805;langewiese;arnsberg;1
bochum;44807;kühlungsborn;rostock;1
bochum;44809;beningafehn;leer;1
bochum;44809;mittelnkirchen;stade;1
bochum;44809;wremen;cuxhaven;1
bochum;44867;dissen;kassel;1
bochum;44867;priwall peninsula;lübeck;1
bochum;44867;sandbrink;diepholz;1
bochum;44867;sankt peter-ording;nordfriesland;1
bochum;44869;neuastenberg;arnsberg;1
bochum;44869;wissinghausen;arnsberg;1
bochum;44879;burhafe;wittmund;1
bochum;44892;minsen;friesland;1
bochum;44894;wilhelmshaven;wilhelmshaven;1
bockenem;31167;zirchow;ostvorpommern;1
bockhorn;26345;norderteil;cuxhaven;1
bodenwöhr;92439;hofstetten;freiburg;1
bohmte;49163;süderwisch;cuxhaven;1
boizenburg;19258;cumbach;saalfeld-rudolstadt;1
boizenburg;19258;heringsdorf;ostholstein;1
boizenburg;19258;hohe;holzminden;1
boizenburg/ elbe;19258;boltenhagen;nordwestmecklenburg;1
bonn;53111;schönau am königssee;upper bavaria;1
bonn;53117;burg auf fehmarn;ostholstein;1
bonn;53117;timmendorfer strand;ostholstein;1
bonn;53121;langfurth;lower bavaria;1
bonn;53175;wieck a. darß;nordvorpommern;1
bonn;53179;hooksiel;friesland;1
bonn;53179;lierfeld;bitburg-prüm;1
bonn;53227;feriendorf freilingen;cologne;1
bonn;53227;goting;nordfriesland;1
boostedt;24598;kappeln;schleswig-flensburg;1
boostedt;24598;wackerballig;schleswig-flensburg;1
boostedt;24598;zinnowitz;ostvorpommern;1
borgholzhausen;33829;wesseloh;heidekreis;1
borgwedel;24857;kappeln;schleswig-flensburg;1
borken;46325;wenningstedt-braderup;nordfriesland;1
borkheide;14822;vieregge;rügen;1
borkum;26757;ahrenshoop;nordvorpommern;1
borna;4552;bad gögging;lower bavaria;1
borna;4552;rechenberg-bienenmühle;chemnitz;1
bornheim;53332;medebach;arnsberg;1
bornhöved;24619;tönning;nordfriesland;1
bottrop;46238;hafendorf;mecklenburgische seenplatte;1
bottrop;46242;nesse;aurich;1
bottrop;46242;neuastenberg;arnsberg;1
bovenden;37120;pelzerhaken;ostholstein;1
brackel;21438;sandwehle;nordfriesland;1
brackenheim;74336;cranzahl;chemnitz;1
brakel;33034;großenbrode;ostholstein;1
brandenburg;14770;ostseebad;rügen;1
brandenburg;14772;ahlbeck;ostvorpommern;1
brandenburg;14776;carolinensiel;wittmund;1
brandenburg;14776;saal;nordvorpommern;1
brandenburg an der havel;14770;prora;rügen;1
brandenburg an der havel;14770;stralsund;nordvorpommern;1
brandis;4821;vitzdorf;ostholstein;1
brandis;4821;zingst;nordvorpommern;1
braunfels;35619;friedrichskoog-spitze;dithmarschen;1
braunschweig;38100;wiek;rügen;1
braunschweig;38102;osterode;nordhausen;1
braunschweig;38104;waren;müritz;1
braunschweig;38106;beckerwitz;nordwestmecklenburg;1
braunschweig;38108;cuxhaven;cuxhaven;1
braunschweig;38108;kopendorf;ostholstein;1
braunschweig;38108;pelzerhaken;ostholstein;1
braunschweig;38108;tossens;wesermarsch;1
braunschweig;38108;warsingsfehn;leer;1
braunschweig;38110;kappeln;schleswig-flensburg;1
braunschweig;38112;jordanshöhe;goslar;1
braunschweig;38118;priwall peninsula;lübeck;1
braunschweig;38122;boltenhagen;nordwestmecklenburg;1
braunschweig;38122;siedlung neu borstel;heidekreis;1
braunschweig;38122;zingst;nordvorpommern;1
braunschweig;38124;großenbrode;ostholstein;1
braunschweig;38124;hafendorf;mecklenburgische seenplatte;1
breckerfeld;58339;zingst;nordvorpommern;1
bredstedt;25821;wenningstedt-braderup;nordfriesland;1
breese;19322;vieregge;rügen;1
breitenfelde;23881;sassnitz;rügen;1
bremen;28197;balm;ostvorpommern;1
bremen;28199;fehrenbach;hildburghausen;1
bremen;28203;glowe;rügen;1
bremen;28207;burhafe;wittmund;1
bremen;28209;sandbrink;diepholz;1
bremen;28213;binz;rügen;1
bremen;28215;jamitzow;ostvorpommern;1
bremen;28217;dümmer;ludwigslust-parchim;1
bremen;28217;zingst;nordvorpommern;1
bremen;28237;ockholm;nordfriesland;1
bremen;28239;harleshausen;kassel;1
bremen;28239;kappel;freiburg;1
bremen;28239;ribnitz;rostock;1
bremen;28259;fehmarn;ostholstein;1
bremen;28259;sterdebüll;nordfriesland;1
bremen;28277;kappeln;schleswig-flensburg;1
bremen;28309;schwerin;ludwigslust-parchim;1
bremen;28329;schönhagen;rendsburg-eckernförde;1
bremen;28357;priwall peninsula;lübeck;1
bremen;28717;münster-altstadt;münster;1
bremen;28755;bippen;osnabrück;1
bremen;28757;wilhelmshausen;kassel;1
bremen;28779;humboldt - gremberg;cologne;1
bremerhaven;27570;redewisch;nordwestmecklenburg;1
bremerhaven;27572;hildfeld;arnsberg;1
bremerhaven;27580;heligoland;pinneberg;1
bremervörde;27432;bad harzburg;goslar;1
bremervörde;27432;braunlage;goslar;1
bremervörde;27432;hörnum;nordfriesland;1
bremervörde;27432;niendorf/ostsee;ostholstein;1
bretten;75015;dagebüll;nordfriesland;1
bretzenheim;55559;hinang;swabia;1
brieselang;14656;ahlbeck;ostvorpommern;1
brilon;59929;brilon;arnsberg;1
brilon;59929;dierkow-west;rostock;1
britz;16230;hornstorf;nordwestmecklenburg;1
brotdorf;66663;kaimt;cochem-zell;1
bruchköbel;63486;mannebach;rhein-hunsrück-kreis;1
bruchköbel;63486;ostseebad;rügen;1
bruchsal;76646;norddeich;aurich;1
bruchsal;76646;obergrainau;upper bavaria;1
brunsbek;22946;husum;nordfriesland;1
brunsbek;22946;sankt peter-ording;nordfriesland;1
brüel;19412;hohendorf;nordvorpommern;1
brühl;5021;greetsiel;aurich;1
buchholz;21244;ashausen;harburg;1
buchholz;21244;eisenach;wartburgkreis;1
buchholz i.d. nordheide;21244;glowe;rügen;1
buchholz in der nordheide;21244;arle;aurich;1
budenheim;55257;kappeln;schleswig-flensburg;1
burg;25712;oberselk;schleswig-flensburg;1
burg;39288;ilmenau;ilm-kreis;1
burg stargard;17094;dewichow;ostvorpommern;1
burgdorf;31303;kappeln;schleswig-flensburg;1
burgstädt;9217;kreuzfeld;upper bavaria;1
burgwald;35099;hofstetten;freiburg;1
burgwedel;30938;alt travemünde - rönnau;lübeck;1
butjadingen;26969;großwürden;wesermarsch;1
buxtehude;21614;boltenhagen;nordwestmecklenburg;1
buxtehude;21614;pelzerhaken;ostholstein;1
buxtehude;21614;wyk auf föhr;nordfriesland;1
böblingen;71032;obermaiselstein;swabia;1
bönen;5919;lensterstrand;ostholstein;1
bönen;59199;kappeln;schleswig-flensburg;1
börßum;38312;schönhagen;rendsburg-eckernförde;1
büchlberg;94124;bodenwöhr;upper palatinate;1
bückeburg;31675;priwall peninsula;lübeck;1
